Weight,Quantity
4248.65,1979
4340.81,5763
4538.41,5740
4886.14,2592
4406.74,2622
1497.16,6975
1692.01,2746
842.84,3582
1158.91,5432
574.61,7398
4537.8,1193
3676.36,9558
510.95,5608
3676.74,5123
277.99,6484
3634.81,5046
517.44,2226
1388.98,4205
4157.56,6258
570.14,364
4589.82,1362
1541.65,8834
3524.76,412
815.4,8454
2484.12,7972
31.19,2019
3150.2,7311
3116.02,261
3770.76,7839
3498.72,9461
979.44,6073
1964.43,1137
4793.04,2228
2875.58,4259
3847.74,6626
90.1,2096
2895.97,8302
857.34,4708
1913.62,6759
2521.37,1063
875.23,3042
1506.81,2670
1873.6,5210
4237.36,2916
1508.66,5416
2853.39,7866
1657.06,7458
2663.98,4577
2783.78,8375
1397.66,1362
2088.38,1465
1908.81,2665
1498.89,1937
1995.66,1735
1921.97,766
1229.85,6615
2633.85,1789
19.05,1706
3369.71,1987
4740.39,8276
4873.79,5073
4069.04,3426
4763.09,9940
4004.32,6030
4182.72,5955
1102.07,5462
583.29,5291
2505.77,3117
1823.24,3889
2833.01,4867
726.6,4546
4161.36,9341
4199.42,8777
3923.26,6057
924.52,9371
3451.67,829
2070.69,8281
4312.23,7831
4269.07,8446
4946.91,3044
14.07,5412
2774.44,5896
4664.22,9016
3812.99,4817
2682.88,5200
4331.02,6621
733.58,1605
2609.53,3
2946.32,5475
1648.94,8879
405.56,9097
1385.25,2595
2172.28,6505
2499.94,8022
2432.73,1552
4277.87,1875
1884.3,4203
429.05,4699
126.04,8743
394.68,9646
3677.36,4672
2662.15,8553
2265.12,8381
4190.84,5565
1874.77,282
2138.72,3126
1925.97,3156
4093.91,2599
4697.98,4095
2160.69,823
3498.8,5426
3412.91,1351
1007.77,4229
2222.58,7753
1093.16,5499
635.67,9164
1549.01,4050
3187.7,3028
565.35,5359
383.65,2884
4680.46,2702
14.28,9428
3563.29,4085
4328.89,3343
450.08,1360
174.92,3939
1919.08,2547
256.24,7109
1320.18,2222
626.45,959
1883.5,7670
4863.21,8461
2462.69,3708
2852.28,9933
3475.23,3066
356.16,9070
1540.92,6176
94.05,2071
3969.58,3547
4479.03,9144
849.6,7564
1417.5,8774
4647.41,3469
2984.85,8758
2555.41,7468
1876.56,5305
2865.33,3448
53.12,2263
2039.13,2700
492.46,9207
518.06,3993
2308.93,1168
3264.82,4470
4178.28,5254
614.23,7351
343.07,5762
